0,1,2,3,4,5,6,7,8,9,10,11,12
-266.73352,80.9301,21.05773,18.23397,7.416679,11.029636,-0.94785786,-1.2808237,-9.692682,-4.173668,-3.904538,-1.0170028,-1.1416343
-275.35754,104.76369,6.400815,28.92148,-8.079805,18.382275,-5.5057864,8.062867,-8.863367,1.7926393,-0.69035554,-2.7523913,-4.772451
-279.83957,102.38079,8.1292095,29.880028,-8.613314,17.633194,-3.72689,9.12258,-6.9055963,3.2869377,-2.6692288,-1.6834888,0.02962315
-281.41348,101.41966,0.3884511,25.174854,-8.956422,17.860462,-0.35684225,11.751091,-5.8175316,0.46025133,-3.7344556,-4.3941574,-1.3042359
-285.10504,105.23158,10.875729,31.678326,-5.758741,14.31725,-1.7795079,15.818201,-7.0969257,2.181213,1.5998905,2.707725,5.0917196
-278.3802,104.83797,3.2774496,28.184696,-5.4807205,18.738245,-3.2511363,10.228089,-3.1862898,3.4480038,-1.9030282,-0.8609078,0.42289603
-285.0224,97.0233,2.1345317,25.965641,-9.072416,15.202068,-7.5329614,7.1979947,-4.2187433,5.4412627,-4.1310806,-5.5507445,-1.9046642
-274.02823,104.07178,8.003632,33.307575,-6.4260683,21.10711,-6.168792,10.287624,-5.0471253,1.2456949,-0.44610107,-4.921624,-2.1703782
-277.7922,103.877335,10.126034,30.853832,-6.3057084,20.098555,-6.0082345,11.643732,-3.6514502,6.6889114,0.15244079,-4.9558296,-3.3323233
-273.05646,102.11316,3.9888558,22.421486,-10.492901,26.491049,1.0165966,11.506013,-2.1854343,8.409283,-5.624597,-4.552006,-2.6135836
-282.04285,95.61174,-0.7344526,25.66273,-0.09455794,22.57902,-5.1090226,15.465805,-11.991669,-5.386114,-4.0592713,1.570729,5.7838345
-268.19727,92.26361,13.144823,30.091263,-10.685303,24.30709,-10.42214,19.778193,-13.031408,0.997035,-2.5680532,-3.5834758,-2.488965
-270.91187,87.280624,2.4146266,21.632587,-12.416947,26.570652,-11.001207,17.686852,-10.574741,3.656709,-2.108152,-0.7900938,8.0543785
-272.51654,90.14723,5.6159067,35.867508,-8.159005,18.713203,-8.5707245,8.71414,-12.238386,10.796471,5.8734674,2.6253555,1.2401185
-271.43246,93.43498,5.1615934,30.914658,-6.0235796,28.90498,-9.253811,11.823603,-11.481125,-0.969761,-1.1418551,-1.2641923,4.326373
-267.90656,100.75713,1.1638801,30.243847,-5.7665105,20.62547,-5.556924,14.097374,-2.2246547,5.4707355,-6.925956,-6.914936,-1.127827
-267.86746,108.31687,5.8974113,18.886204,-11.14926,22.973507,-8.285374,14.210591,-5.166077,1.7421575,-2.7683423,-5.891217,-1.74606
-264.8229,99.84694,4.191982,30.632317,-7.359439,26.001305,-1.2092862,10.643854,-6.545831,4.3719454,-10.425818,-2.4683084,2.0669732
-273.95245,92.70516,5.1001577,30.139858,-3.4632509,24.375599,-10.012337,16.472345,-3.8775215,3.194967,-6.6427145,-3.7707725,-1.4919565
-267.99152,97.746124,1.6566086,21.964333,-5.157011,27.215382,-4.8398333,19.3922,-6.313994,1.0486355,-5.829662,-0.9663274,-2.6076021
-269.73077,95.730705,5.7889833,26.042656,-12.04769,28.116772,-1.9222149,12.5023365,-8.080997,6.063204,-2.5148642,-4.669743,-1.835439
-269.16397,96.19024,3.9920268,23.83236,-10.441599,20.884888,-12.083599,12.792569,-4.279586,7.996315,-0.8166578,0.029741108,-3.4974153
-277.87482,100.57475,4.532398,26.013828,-7.596736,19.115767,-4.885887,13.966324,-4.8514566,6.078949,3.5304837,0.23440821,-2.52298
-269.84494,100.22711,-1.1581838,27.665318,-7.193462,19.160015,-4.4450636,10.716163,-5.4738727,6.518423,-3.1250076,-2.8240867,-2.9367685
-273.773,101.993965,3.01665,26.851116,-8.381598,24.659386,-3.690974,7.082308,-5.779081,6.543822,4.4247727,-2.3231812,-5.142844
-278.60693,95.79071,14.796272,30.79598,-2.7013578,23.864895,-9.98706,11.550257,-9.429541,4.52611,-4.6937056,3.8692775,-4.285068
-277.98117,98.75438,4.4862404,28.243881,-9.247971,16.581253,-4.1398625,13.245527,-6.370139,5.1461825,1.391158,-1.9623001,-5.50529
-285.53427,92.860794,2.0841942,31.599384,4.114526,26.533703,-1.2502365,15.463692,-4.3090777,5.1033115,0.14265025,-2.0945258,-3.5487232
-277.0937,97.9032,9.91296,27.484085,-4.5689087,22.668108,-10.253607,15.837267,-3.4154668,7.2256937,-0.33264303,-2.9865532,-3.1843054
-275.38147,94.06336,10.449566,30.262186,-11.024366,19.893082,-10.334892,15.880952,-5.4406977,4.634087,-2.8779464,-3.0792308,-5.904026
-281.1229,100.54213,3.4816923,23.059752,-9.240089,23.912577,1.7060935,17.78897,-0.18418372,8.112308,-1.4853911,-1.1781559,5.3423896
-275.89795,96.07323,4.795806,32.510067,-2.8050575,23.832817,-5.411207,14.83267,-3.5061579,2.502578,-2.0732646,-3.2736082,-6.525494
-274.40536,99.89479,1.2111156,24.764029,-10.781263,14.651507,-2.2344043,21.352276,-2.3465383,5.371668,1.7136664,5.7381516,2.8110626
-284.15466,103.37715,11.403641,25.32275,-12.438702,18.89991,-8.362084,8.538288,-7.539817,-0.61587614,-2.3133569,-7.02068,-4.222009
-279.71725,96.63836,4.331688,21.50499,-12.156538,19.37513,-5.157831,13.371185,-6.6936135,6.320112,-2.7621875,-4.703677,-2.6225288
-284.8352,92.23196,-0.03162855,25.56998,-10.773823,23.104954,-2.609377,16.898455,-0.06303835,-0.844572,1.0506048,-0.2350401,-1.0463674
-281.16113,106.66283,7.405876,29.212164,-1.8728738,17.410643,-4.635048,11.456529,-0.5027584,10.64216,-2.8468764,-4.3289833,-3.2201014
-276.27725,91.985245,1.9363899,30.344027,-5.6589575,28.582016,-2.37179,13.324884,-4.9389153,6.438444,-2.8926425,-5.200119,1.0072237
