0,1,2,3,4,5,6,7,8,9,10,11
-4.513764,4.0154877,-2.1846774,4.3411307,-2.349575,0.8189994,-4.427288,-1.65954,-2.60915,-0.6651723,0.28371006,0.0823486
1.333755,0.33786952,0.62886363,0.14380977,-0.3268535,-0.48358783,-1.7184173,-1.416045,-0.81363356,0.34542477,-0.27726665,-1.1202303
0.74911654,0.7715471,0.88120615,-0.00069433387,-0.5329267,0.024793895,-1.4111913,-0.8412241,-0.3639354,-0.27676874,0.0682637,0.470286
0.5133058,-1.1707139,-0.35745463,-0.093627356,-0.47040486,0.9879027,-0.64914787,-0.52175754,-1.2146059,-0.6116953,-0.8079793,0.028492603
1.4485521,1.460686,1.3546171,0.7724848,-1.4451476,0.58132637,0.5299661,-0.8974003,-0.6966952,1.0655195,1.487755,2.1469254
1.3519794,-0.44582513,0.4349015,0.84778833,-0.22892554,0.16075715,-1.0906881,0.25080112,-0.31546378,-0.03586145,0.33416888,0.6005437
-0.5653321,-0.73259866,-0.14927602,-0.1250452,-1.2017329,-1.0629239,-1.9691563,-0.052337456,0.28439286,-0.7364014,-1.1818544,-0.1703779
1.1639965,0.7400379,1.7835253,0.59173495,0.4227524,-0.67306477,-1.073428,-0.2955586,-0.97823244,0.42222276,-0.9784867,-0.25838622
1.1162903,1.2725773,1.1375651,0.62433517,0.1452976,-0.6271799,-0.68027276,0.11422543,0.6598636,0.61041516,-0.98954386,-0.64323926
0.6834537,-0.26732367,-1.0822928,-0.50979245,1.903882,1.3804109,-0.7201995,0.5446622,1.1775967,-1.20599,-0.8590049,-0.40518224
-0.9116553,-1.4524657,-0.22901908,2.3066647,0.82767713,-0.37019873,0.42780143,-2.3345454,-2.9740267,-0.71382326,1.1202129,2.376164
-1.7331116,2.0300324,0.93681484,-0.5619057,1.303072,-1.8886075,1.6780249,-2.6398232,-1.0530648,-0.24495733,-0.54592067,-0.3639068
-2.9556766,-0.66231906,-1.2899743,-1.0309325,1.925781,-2.0540962,1.0717149,-1.9185214,-0.25265548,-0.100356035,0.35706002,3.128201
-2.2523606,0.14092542,2.4574406,0.122358,-0.23581451,-1.3595009,-1.5296038,-2.4069839,1.8960034,2.4092093,1.4611284,0.8712196
-1.4457182,0.026932066,1.1535777,0.70075154,2.5679579,-1.5547167,-0.62812567,-2.1846445,-1.6449577,0.20346513,0.20380428,1.8934317
0.35075575,-0.9761483,0.97698337,0.7703803,0.29025257,-0.49820215,0.03107348,0.5331467,0.2932625,-1.6151606,-1.622839,0.086921774
2.205521,0.21155874,-2.0129738,-0.68757135,0.93620116,-1.277952,0.06389683,-0.33048403,-0.8288257,-0.3079318,-1.2919146,-0.117845915
0.12744153,-0.21635662,1.07925,0.3389256,1.7691526,0.7442871,-0.97015184,-0.7355935,-0.03741033,-2.7155807,-0.18543483,1.1450858
-1.6247779,0.011517018,0.94960785,1.3942327,1.3219187,-1.7714919,0.719612,0.047848646,-0.39161333,-1.5261043,-0.60646564,-0.03368315
-0.3879888,-0.85251606,-1.2026408,0.9354671,2.103147,-0.29326847,1.5661203,-0.6675238,-1.037536,-1.2704661,0.30009124,-0.4032011
-0.8824675,0.18435268,-0.12900145,-0.930917,2.3511207,0.54054284,-0.43135095,-1.1863335,0.47156146,-0.22823372,-0.8970643,-0.14744951
-0.7697219,-0.26652804,-0.71087325,-0.49589697,0.36161897,-2.3634274,-0.3472083,-0.07020142,1.0533171,0.30571306,0.6220775,-0.69792014
