0,1,2,3,4,5,6,7,8,9,10,11,12
-269.6232,156.99707,27.92212,29.709446,0.23655999,16.980854,-4.3196144,-1.7134557,-17.195148,-8.052841,-5.7426805,-5.9333467,-5.436082
-256.2667,176.80814,16.310526,41.018806,-9.737973,24.357988,-2.0137038,8.744173,-11.471424,-1.4351499,-2.556724,-6.590667,0.2707743
-266.09045,186.25485,10.917873,48.507355,-12.129291,28.21994,-2.0303876,15.668698,-6.1824536,0.37375462,0.8037329,-7.27641,6.0127635
-266.06894,182.49614,8.52066,49.66907,-13.360914,27.733402,-5.548709,13.240419,-3.4240527,0.105555326,-0.22843972,-11.856648,0.85466605
-258.37268,184.3606,9.777657,49.543144,-12.394136,33.852615,-3.9933846,14.979505,-4.698778,-0.6010364,-3.1252117,-16.778244,-3.3712811
-254.3716,178.63493,8.448046,45.00479,-12.671585,39.968376,-6.3612556,20.923012,-9.086583,-3.3190317,-3.2522318,-13.149729,2.6879263
-249.44131,166.63095,10.775135,47.657234,-15.461966,41.834118,-15.843861,24.257591,-17.107622,-3.7754598,0.7903195,-12.247154,7.483553
-245.8426,166.64014,7.710169,51.383316,-15.993721,41.334354,-12.700626,20.535748,-15.237766,2.9036622,5.067284,-9.420206,11.168152
-246.2747,178.14554,4.5755086,47.891182,-14.763891,37.16455,-9.698084,19.5262,-6.804697,-0.015128791,-2.763709,-16.105293,3.044479
-248.1281,177.01884,4.320648,46.85266,-12.885765,40.738636,-6.0506124,19.089241,-5.6068697,0.33224148,-7.8824596,-16.300827,-0.654982
-248.35739,170.94104,3.8071022,46.823853,-12.01676,43.753277,-8.55326,19.970898,-10.373652,-2.7650461,-5.4364233,-12.7611885,-0.72149396
-248.71576,174.43497,4.8417277,42.286705,-18.283295,38.546364,-10.764795,19.534096,-8.190274,0.17128581,-0.23291329,-11.911396,-2.8673475
-251.86975,178.99078,4.6552176,44.887047,-16.608234,30.797588,-10.412046,15.900247,-6.139646,6.590607,5.2165923,-8.0682745,-1.7597961
-258.0879,174.00352,6.94631,47.329174,-13.537317,34.653954,-10.75826,12.719912,-8.702793,6.166129,4.842636,-6.1372786,-1.8582355
-264.2339,174.1003,10.874172,49.620674,-9.752529,35.26275,-8.995567,16.79334,-8.689912,2.3046448,3.1453,-8.494856,-4.9908133
-263.81836,172.83302,12.890049,51.04335,-9.98365,35.628616,-12.438412,21.588013,-5.357763,0.8737011,0.13447817,-14.124265,-2.9929593
-257.25302,176.05493,11.605173,49.59838,-12.44472,39.125427,-7.690132,22.530655,-6.2329636,-2.3204632,-3.1888456,-13.308119,0.14492178
-256.7285,181.26917,8.604105,46.65339,-15.080246,32.214153,-6.497635,20.784557,-6.7970705,-5.1127696,-2.2586403,-10.079842,0.007860422
-263.24545,179.63837,8.845729,42.47142,-18.805183,30.869116,-7.7870555,18.986876,-7.2788196,-4.8111997,0.058028698,-11.595698,-0.24059165
-266.0055,177.03073,5.262561,43.287846,-15.142026,33.91516,-6.3535852,16.148499,-3.615045,0.17186952,-0.12552518,-13.9271965,-2.7077947
-261.74197,174.40443,5.2887125,50.582733,-11.924793,34.82935,-6.7195773,15.980527,-6.4465055,2.2734902,0.17858225,-14.999516,2.5958402
-261.63614,179.05847,4.0182333,46.69009,-13.058695,30.571054,-3.4792986,20.360233,-6.235254,4.138034,5.8192863,-11.5105295,1.2483977
-261.84286,182.15646,6.1145005,49.049225,-10.482225,30.781794,-1.8861369,16.107344,-6.458582,1.3190631,-2.1197715,-11.173784,-2.787213
-263.71655,185.70773,14.182684,48.449947,-12.261566,31.720339,-4.5883284,14.761107,-6.229471,2.3329248,-0.9374601,-9.209119,-0.73485416
-264.83185,184.95462,13.595964,46.535675,-11.020981,34.087555,-5.6217375,18.066374,0.68061405,6.438869,0.6330342,-11.138637,-1.4124274
-265.14246,183.67828,9.986916,48.93164,-6.3471413,37.37352,-3.1841416,16.364752,-3.6867695,-3.0244246,-2.7383265,-10.697872,-0.88633996
-267.84534,175.25713,8.964878,51.703392,-9.012602,37.08703,-3.8214045,16.777563,-6.2516394,-3.2540123,2.0237174,-6.34149,2.8877292
-261.07465,175.19986,7.0480037,55.380447,-10.049713,34.953117,-1.988277,17.937094,-9.032782,-1.8835125,3.5246649,-9.251884,1.1710436
-261.2293,180.99681,11.719166,55.392357,-7.990652,35.807617,1.2212167,20.695599,-8.282145,-4.072528,-2.4178088,-12.723702,-0.8057548
-267.18945,180.01102,10.188446,48.590725,-10.52467,37.41971,0.20038712,19.84801,-4.29257,-5.3398323,-2.8363125,-11.964457,-4.4219384
-271.2335,177.32991,9.80418,47.884007,-10.769534,37.514767,2.369741,21.49718,-3.5683613,-2.79113,-3.6438851,-13.686556,-1.6661428
-269.21515,178.9902,11.107939,50.16951,-11.369751,31.789413,0.99912226,22.977613,-1.495976,1.5088549,-4.010557,-16.726292,-5.651596
-266.6287,179.33069,7.6312876,47.3217,-13.375277,26.204784,-7.901866,16.30856,-2.1158779,4.5038605,-5.1142483,-17.888477,-3.0812461
-271.31516,178.12082,6.165861,44.68432,-16.646107,21.385525,-9.771559,12.57556,-6.9907303,3.7053356,1.0926489,-12.282385,0.36282206
-273.441,181.70428,12.170075,44.055733,-14.790838,24.666954,-7.391824,19.965439,-4.9327784,-1.482924,-0.7438551,-10.766767,0.16761892
